"","Nível Territorial (Código)","Nível Territorial","Município (Código)","Município","Trimestre (Código)","Trimestre","Variável (Código)","Variável","Sexo (Código)","Sexo","Unidade de Medida (Código)","Unidade de Medida","Valor"
"12","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","4111","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência","4","Homens","2","%",8.5
"13","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","4111","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência","5","Mulheres","2","%",5.8
"14","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8344","Pessoas de 14 anos ou mais de idade, subocupadas por insuficiência de horas trabalhadas","6794","Total","1572","Mil pessoas",188
"15","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8344","Pessoas de 14 anos ou mais de idade, subocupadas por insuficiência de horas trabalhadas","4","Homens","1572","Mil pessoas",72
"16","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8344","Pessoas de 14 anos ou mais de idade, subocupadas por insuficiência de horas trabalhadas","5","Mulheres","1572","Mil pessoas",116
"17","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8345","Coeficiente de variação - Pessoas de 14 anos ou mais de idade, subocupadas por insuficiência de horas trabalhadas","6794","Total","2","%",7.2
"18","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8345","Coeficiente de variação - Pessoas de 14 anos ou mais de idade, subocupadas por insuficiência de horas trabalhadas","4","Homens","2","%",11.6
"19","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8345","Coeficiente de variação - Pessoas de 14 anos ou mais de idade, subocupadas por insuficiência de horas trabalhadas","5","Mulheres","2","%",9.2
"20","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8386","Distribuição percentual das pessoas de 14 anos ou mais de idade, subocupadas por insuficiência de horas trabalhadas","6794","Total","2","%",100
"21","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8386","Distribuição percentual das pessoas de 14 anos ou mais de idade, subocupadas por insuficiência de horas trabalhadas","4","Homens","2","%",38.3
"22","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8386","Distribuição percentual das pessoas de 14 anos ou mais de idade, subocupadas por insuficiência de horas trabalhadas","5","Mulheres","2","%",61.7
"23","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8387","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, subocupadas por insuficiência de horas trabalhadas","6794","Total","2","%",NA
"24","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8387","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, subocupadas por insuficiência de horas trabalhadas","4","Homens","2","%",9.3
"25","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8387","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, subocupadas por insuficiência de horas trabalhadas","5","Mulheres","2","%",5.8
"26","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8346","Pessoas de 14 anos ou mais de idade, na força de trabalho potencial","6794","Total","1572","Mil pessoas",102
"27","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8346","Pessoas de 14 anos ou mais de idade, na força de trabalho potencial","4","Homens","1572","Mil pessoas",33
"28","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8346","Pessoas de 14 anos ou mais de idade, na força de trabalho potencial","5","Mulheres","1572","Mil pessoas",70
"29","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8347","Coeficiente de variação - Pessoas de 14 anos ou mais de idade, na força de trabalho potencial","6794","Total","2","%",10.7
"30","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8347","Coeficiente de variação - Pessoas de 14 anos ou mais de idade, na força de trabalho potencial","4","Homens","2","%",15.6
"31","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8347","Coeficiente de variação - Pessoas de 14 anos ou mais de idade, na força de trabalho potencial","5","Mulheres","2","%",12.1
"32","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8388","Distribuição percentual das pessoas de 14 anos ou mais de idade, na força de trabalho potencial","6794","Total","2","%",100
"33","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8388","Distribuição percentual das pessoas de 14 anos ou mais de idade, na força de trabalho potencial","4","Homens","2","%",31.9
"34","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8388","Distribuição percentual das pessoas de 14 anos ou mais de idade, na força de trabalho potencial","5","Mulheres","2","%",68.1
"35","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8389","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, na força de trabalho potencial","6794","Total","2","%",NA
"36","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8389","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, na força de trabalho potencial","4","Homens","2","%",11.7
"37","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8389","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, na força de trabalho potencial","5","Mulheres","2","%",5.5
"38","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8348","Pessoas de 14 anos ou mais de idade desocupadas ou na força de trabalho potencial","6794","Total","1572","Mil pessoas",259
"39","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8348","Pessoas de 14 anos ou mais de idade desocupadas ou na força de trabalho potencial","4","Homens","1572","Mil pessoas",96
"40","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8348","Pessoas de 14 anos ou mais de idade desocupadas ou na força de trabalho potencial","5","Mulheres","1572","Mil pessoas",163
"41","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8349","Coeficiente de variação - Pessoas de 14 anos ou mais de idade desocupadas ou na força de trabalho potencial","6794","Total","2","%",6.7
"42","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8349","Coeficiente de variação - Pessoas de 14 anos ou mais de idade desocupadas ou na força de trabalho potencial","4","Homens","2","%",8.8
"43","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8349","Coeficiente de variação - Pessoas de 14 anos ou mais de idade desocupadas ou na força de trabalho potencial","5","Mulheres","2","%",7.6
"44","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8390","Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou na força de trabalho potencial","6794","Total","2","%",100
"45","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8390","Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou na força de trabalho potencial","4","Homens","2","%",37.1
"46","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8390","Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou na força de trabalho potencial","5","Mulheres","2","%",62.9
"47","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8391","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou na força de trabalho potencial","6794","Total","2","%",NA
"48","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8391","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou na força de trabalho potencial","4","Homens","2","%",5.8
"49","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8391","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou na força de trabalho potencial","5","Mulheres","2","%",3.4
"50","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8350","Pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas","6794","Total","1572","Mil pessoas",345
"51","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8350","Pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas","4","Homens","1572","Mil pessoas",135
"52","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8350","Pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas","5","Mulheres","1572","Mil pessoas",209
"53","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8351","Coeficiente de variação - Pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas","6794","Total","2","%",5.7
"54","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8351","Coeficiente de variação - Pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas","4","Homens","2","%",8.2
"55","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8351","Coeficiente de variação - Pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas","5","Mulheres","2","%",6.8
"56","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8392","Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas","6794","Total","2","%",100
"57","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8392","Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas","4","Homens","2","%",39.3
"58","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8392","Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas","5","Mulheres","2","%",60.7
"59","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8393","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas","6794","Total","2","%",NA
"60","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8393","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas","4","Homens","2","%",5.8
"61","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8393","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas","5","Mulheres","2","%",3.7
"62","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8352","Pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas ou na força de trabalho potencial","6794","Total","1572","Mil pessoas",447
"63","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8352","Pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas ou na força de trabalho potencial","4","Homens","1572","Mil pessoas",168
"64","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8352","Pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas ou na força de trabalho potencial","5","Mulheres","1572","Mil pessoas",279
"65","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8353","Coeficiente de variação - Pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas ou na força de trabalho potencial","6794","Total","2","%",5.3
"66","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8353","Coeficiente de variação - Pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas ou na força de trabalho potencial","4","Homens","2","%",7.4
"67","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8353","Coeficiente de variação - Pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas ou na força de trabalho potencial","5","Mulheres","2","%",6.1
"68","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8394","Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas ou na força de trabalho potencial","6794","Total","2","%",100
"69","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8394","Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas ou na força de trabalho potencial","4","Homens","2","%",37.6
"70","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8394","Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas ou na força de trabalho potencial","5","Mulheres","2","%",62.4
"71","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8395","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas ou na força de trabalho potencial","6794","Total","2","%",NA
"72","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8395","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas ou na força de trabalho potencial","4","Homens","2","%",5
"73","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8395","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas ou na força de trabalho potencial","5","Mulheres","2","%",3
"74","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8354","Pessoas de 14 anos ou mais de idade na força de trabalho ampliada","6794","Total","1572","Mil pessoas",1689
"75","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8354","Pessoas de 14 anos ou mais de idade na força de trabalho ampliada","4","Homens","1572","Mil pessoas",844
"76","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8354","Pessoas de 14 anos ou mais de idade na força de trabalho ampliada","5","Mulheres","1572","Mil pessoas",846
"77","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8355","Coeficiente de variação - Pessoas de 14 anos ou mais de idade na força de trabalho ampliada","6794","Total","2","%",1.6
"78","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8355","Coeficiente de variação - Pessoas de 14 anos ou mais de idade na força de trabalho ampliada","4","Homens","2","%",1.9
"79","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8355","Coeficiente de variação - Pessoas de 14 anos ou mais de idade na força de trabalho ampliada","5","Mulheres","2","%",3
"80","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8396","Distribuição percentual das pessoas de 14 anos ou mais de idade na força de trabalho ampliada","6794","Total","2","%",100
"81","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8396","Distribuição percentual das pessoas de 14 anos ou mais de idade na força de trabalho ampliada","4","Homens","2","%",50
"82","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8396","Distribuição percentual das pessoas de 14 anos ou mais de idade na força de trabalho ampliada","5","Mulheres","2","%",50
"83","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8397","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade na força de trabalho ampliada","6794","Total","2","%",NA
"84","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8397","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade na força de trabalho ampliada","4","Homens","2","%",2
"85","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","8397","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade na força de trabalho ampliada","5","Mulheres","2","%",2
"86","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","4092","Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência","6794","Total","1572","Mil pessoas",164
"87","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","4092","Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência","4","Homens","1572","Mil pessoas",63
"88","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","4092","Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência","5","Mulheres","1572","Mil pessoas",101
"89","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","4093","Coeficiente de variação - Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência","6794","Total","2","%",8.3
"90","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","4093","Coeficiente de variação - Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência","4","Homens","2","%",12.5
"91","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","4093","Coeficiente de variação - Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência","5","Mulheres","2","%",9.6
"92","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","4110","Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência","6794","Total","2","%",100
"93","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","4110","Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência","4","Homens","2","%",38.6
"94","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","4110","Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência","5","Mulheres","2","%",61.4
"95","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","4111","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência","6794","Total","2","%",NA
"96","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","4111","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência","4","Homens","2","%",8.6
"97","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","4111","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência","5","Mulheres","2","%",5.4
"98","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8344","Pessoas de 14 anos ou mais de idade, subocupadas por insuficiência de horas trabalhadas","6794","Total","1572","Mil pessoas",182
"99","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8344","Pessoas de 14 anos ou mais de idade, subocupadas por insuficiência de horas trabalhadas","4","Homens","1572","Mil pessoas",76
"100","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8344","Pessoas de 14 anos ou mais de idade, subocupadas por insuficiência de horas trabalhadas","5","Mulheres","1572","Mil pessoas",106
"101","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8345","Coeficiente de variação - Pessoas de 14 anos ou mais de idade, subocupadas por insuficiência de horas trabalhadas","6794","Total","2","%",7.2
"102","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8345","Coeficiente de variação - Pessoas de 14 anos ou mais de idade, subocupadas por insuficiência de horas trabalhadas","4","Homens","2","%",11
"103","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8345","Coeficiente de variação - Pessoas de 14 anos ou mais de idade, subocupadas por insuficiência de horas trabalhadas","5","Mulheres","2","%",8.1
"104","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8386","Distribuição percentual das pessoas de 14 anos ou mais de idade, subocupadas por insuficiência de horas trabalhadas","6794","Total","2","%",100
"105","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8386","Distribuição percentual das pessoas de 14 anos ou mais de idade, subocupadas por insuficiência de horas trabalhadas","4","Homens","2","%",41.9
"106","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8386","Distribuição percentual das pessoas de 14 anos ou mais de idade, subocupadas por insuficiência de horas trabalhadas","5","Mulheres","2","%",58.1
"107","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8387","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, subocupadas por insuficiência de horas trabalhadas","6794","Total","2","%",NA
"108","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8387","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, subocupadas por insuficiência de horas trabalhadas","4","Homens","2","%",7.1
"109","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8387","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, subocupadas por insuficiência de horas trabalhadas","5","Mulheres","2","%",5.1
"110","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8346","Pessoas de 14 anos ou mais de idade, na força de trabalho potencial","6794","Total","1572","Mil pessoas",78
"111","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8346","Pessoas de 14 anos ou mais de idade, na força de trabalho potencial","4","Homens","1572","Mil pessoas",25
"112","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8346","Pessoas de 14 anos ou mais de idade, na força de trabalho potencial","5","Mulheres","1572","Mil pessoas",53
"113","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8347","Coeficiente de variação - Pessoas de 14 anos ou mais de idade, na força de trabalho potencial","6794","Total","2","%",12.2
"114","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8347","Coeficiente de variação - Pessoas de 14 anos ou mais de idade, na força de trabalho potencial","4","Homens","2","%",21.4
"115","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8347","Coeficiente de variação - Pessoas de 14 anos ou mais de idade, na força de trabalho potencial","5","Mulheres","2","%",12.5
"116","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8388","Distribuição percentual das pessoas de 14 anos ou mais de idade, na força de trabalho potencial","6794","Total","2","%",100
"117","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8388","Distribuição percentual das pessoas de 14 anos ou mais de idade, na força de trabalho potencial","4","Homens","2","%",31.5
"118","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8388","Distribuição percentual das pessoas de 14 anos ou mais de idade, na força de trabalho potencial","5","Mulheres","2","%",68.5
"119","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8389","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, na força de trabalho potencial","6794","Total","2","%",NA
"120","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8389","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, na força de trabalho potencial","4","Homens","2","%",15
"121","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8389","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, na força de trabalho potencial","5","Mulheres","2","%",6.9
"122","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8348","Pessoas de 14 anos ou mais de idade desocupadas ou na força de trabalho potencial","6794","Total","1572","Mil pessoas",242
"123","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8348","Pessoas de 14 anos ou mais de idade desocupadas ou na força de trabalho potencial","4","Homens","1572","Mil pessoas",88
"124","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8348","Pessoas de 14 anos ou mais de idade desocupadas ou na força de trabalho potencial","5","Mulheres","1572","Mil pessoas",154
"125","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8349","Coeficiente de variação - Pessoas de 14 anos ou mais de idade desocupadas ou na força de trabalho potencial","6794","Total","2","%",6.5
"126","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8349","Coeficiente de variação - Pessoas de 14 anos ou mais de idade desocupadas ou na força de trabalho potencial","4","Homens","2","%",10.1
"127","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8349","Coeficiente de variação - Pessoas de 14 anos ou mais de idade desocupadas ou na força de trabalho potencial","5","Mulheres","2","%",8
"128","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8390","Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou na força de trabalho potencial","6794","Total","2","%",100
"129","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8390","Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou na força de trabalho potencial","4","Homens","2","%",36.3
"130","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8390","Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou na força de trabalho potencial","5","Mulheres","2","%",63.7
"131","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8391","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou na força de trabalho potencial","6794","Total","2","%",NA
"132","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8391","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou na força de trabalho potencial","4","Homens","2","%",7.8
"133","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8391","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou na força de trabalho potencial","5","Mulheres","2","%",4.4
"134","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8350","Pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas","6794","Total","1572","Mil pessoas",346
"135","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8350","Pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas","4","Homens","1572","Mil pessoas",139
"136","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8350","Pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas","5","Mulheres","1572","Mil pessoas",206
"137","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8351","Coeficiente de variação - Pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas","6794","Total","2","%",5.1
"138","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8351","Coeficiente de variação - Pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas","4","Homens","2","%",8.1
"139","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8351","Coeficiente de variação - Pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas","5","Mulheres","2","%",5.8
"140","6","Município","2927408","Salvador (BA)","201202","2º trimestre 2012","8392","Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas ou subocupadas por insuficiência de horas trabalhadas","6794","Total","2","%",100
